json_file,section,title,collaborator_name,filled_id_lattes,tipo_resolucao
Alessandra de Almeida Lucas.json,listaPB[36],Wood Polymer Composites Technology Supporting the Recovery and Protection of Tropical Forests: The Amazonian Phoenix Project,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[37],Determination of non-isothermal crystallization rate constant for pseudo-experimental calorimetric data,"Marinelli, Alessandra Lucas",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[37],Determination of non-isothermal crystallization rate constant for pseudo-experimental calorimetric data,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[38],Optical monitoring of polypropylene crystallization during injection molding,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[39],Desenvolvimento de compósitos poliméricos com fibras vegetais naturais da biodiversidade: uma contribuição para a sustentabilidade amazônica.,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[39],Desenvolvimento de compósitos poliméricos com fibras vegetais naturais da biodiversidade: uma contribuição para a sustentabilidade amazônica.,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[40],Optical Monitoring of Polyesters Injection Molding,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[41],EVALUATION OF THE MASTER CURVE APPROACH FOR THE,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[42],Blends of polypropylene and a liquid crystalline polymer,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[43],Blends of a bottle-grade polyethylene terephthalate copolymer with a liquid crystalline polymer,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[44],On the Determination of the Equilibrium Melting Temperature of Polybutylene Terephthalate,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[45],SAXS Studies of the Injection Molding Effects on the Nanostructure of Polyesters,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[46],SAXS Studies of the Injection Molding Effects on the Nanostructure of Polyesters,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[47],Evaluation of the Crystallinity Degree of Injection Molded Polyesters by WideAngle X-Ray Diffraction (WAXD),"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[48],Influence of the injection molding parameters on the nano periodicity ofpolybutylene terephtalate and polytrimethylene terephthalate,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[1],Transforming Engineering Education through Design-for-Justice: A Contextualized Model for Community-Engaged Learning in Brazil,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[2],A NEW COATING METHOD FOR PRODUCING CONDUCTIVE POLYMER COMPOSITES FILLED WITH NANO-EXPANDED GRAPHITE,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[3],EVALUATION OF THE EFFECT OF DIFFERENT LEVELS OF CITRIC ACID ON THE PHYSICOCHEMICAL PROPERTIES OF CASSAVA STARCH/POLY(BUTYLENE SUCCINATE) BLENDS,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[4],Desenvolvimento e Caracterização de Micropartículas de Quitosana contendo Própolis por Encapsulação,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[5],Blendas de amido de mandioca com poli(butileno succinato) (PBS) obtidas variando a velocidade de processamento,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[6],PROPRIEDADES MECÂNICAS DE PLÁSTICOS DE AMIDO BABAÇU PRODUZIDOS POR CASTING CONTÍNUO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[7],PROPRIEDADES MECÂNICAS EM TRAÇÃO DE COMPÓSITOS DE POLIPROPILENO COM DIFERENTES ESTRUTURAS DE CELULOSE PREPARADOS POR PULVERIZAÇÃO POR CISALHAMENTO NO ESTADO SÓLIDO (S3P),Canto. L.B.,7287108960864123,coautor_reconhecido
Alessandra de Almeida Lucas.json,trabalhos_completos[7],PROPRIEDADES MECÂNICAS EM TRAÇÃO DE COMPÓSITOS DE POLIPROPILENO COM DIFERENTES ESTRUTURAS DE CELULOSE PREPARADOS POR PULVERIZAÇÃO POR CISALHAMENTO NO ESTADO SÓLIDO (S3P),"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[8],MODIFICAÇÃO SUPERFICIAL DE NANOFIBRILAS DE CELULOSE DE EUCALIPTO PARA PRODUÇÃO DE NANOBIOCOMPÓSITOS DE PHBV,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[9],POLYETHYLENE CELLULOSE NANOFIBRILS NANOCOMPOSITES,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[10],COMPÓSITOS DE MATRIZ POLIMÉRICA (RESINA FENÓLICA E LIGNINA) CONTENDO NANOGRAFITE EXPANDIDO E NEGRO DE FUMO CONDUTIVO,"Lucas, A.A.",9754332336954137,proprio_pesquisador
